,ID,R1641051,R1641052,R1641053,R1641054,R1641057,R1641058,R164105A,R164105D,GPA
0,166M1A0501,0,5,0,0,8,10,0,0,0
0,166M1A0502,5,6,5,6,9,10,6,7,6
0,166M1A0503,7,6,6,8,9,10,7,6,8
0,166M1A0504,6,6,6,6,9,10,6,6,5
0,166M1A0505,0,7,7,7,9,9,5,5,8
0,166M1A0506,6,6,7,5,9,10,6,8,6
0,166M1A0507,7,5,7,7,9,10,5,6,3
0,166M1A0508,5,5,0,5,8,10,6,5,7
0,166M1A0509,0,6,0,6,8,10,0,5,4
0,166M1A0510,5,6,7,6,9,10,5,6,6
0,166M1A0511,6,0,5,6,7,10,0,0,5
0,166M1A0512,6,6,8,0,8,10,6,5,5
0,166M1A0513,5,7,6,6,8,10,6,6,8
0,166M1A0514,6,6,6,7,8,10,6,7,4
0,166M1A0515,8,7,5,8,9,10,7,6,2
0,166M1A0516,6,7,7,6,9,10,5,6,6
0,166M1A0517,5,6,5,5,8,9,5,0,1
0,166M1A0518,5,5,5,5,7,9,5,6,5
0,166M1A0519,9,7,7,8,10,10,7,7,6
0,166M1A0520,6,6,6,5,9,10,5,6,5
0,166M1A0521,5,8,6,0,8,10,6,5,3
0,166M1A0522,6,6,5,6,9,10,7,8,4
0,166M1A0523,7,6,6,7,10,10,6,6,1
0,166M1A0524,7,8,8,6,10,10,7,7,7
0,166M1A0525,6,8,7,6,9,10,6,6,7
0,166M1A0526,6,7,6,6,9,10,7,8,6
0,166M1A0527,8,0,5,6,9,10,6,6,2
0,166M1A0528,6,6,5,5,8,10,0,5,1
0,166M1A0529,0,6,5,0,8,10,0,0,4
0,166M1A0530,5,6,5,6,8,9,0,6,2
0,166M1A0531,8,0,5,6,9,10,7,5,1
0,166M1A0532,6,7,0,5,9,10,6,5,5
0,166M1A0533,0,7,5,5,8,10,0,0,3
0,166M1A0534,5,6,5,6,9,10,0,6,8
0,166M1A0535,9,6,6,7,9,10,7,6,0
0,166M1A0536,6,5,0,5,9,10,5,5,7
0,166M1A0537,5,8,6,6,10,10,6,0,3
0,166M1A0538,7,7,6,7,10,10,6,7,3
0,166M1A0539,5,0,0,5,9,10,0,5,6
0,166M1A0540,6,8,6,5,9,10,6,5,6
0,166M1A0541,0,7,5,5,9,10,5,5,2
0,166M1A0542,8,6,7,7,9,10,6,7,3
0,166M1A0543,8,7,6,7,10,10,6,7,9
0,166M1A0545,8,8,7,6,9,10,7,7,2
0,166M1A0546,5,6,5,5,9,10,5,0,1
0,166M1A0547,7,7,6,7,10,10,7,8,5
0,166M1A0548,7,6,7,6,10,10,5,6,7
0,166M1A0549,7,9,7,6,10,10,7,8,4
0,166M1A0550,6,8,7,7,9,10,5,5,1
0,166M1A0551,6,6,5,6,9,10,5,8,5
0,166M1A0552,7,6,6,6,9,10,6,6,9
0,166M1A0553,5,6,0,5,8,10,5,0,1
0,166M1A0554,5,5,5,0,9,10,0,0,9
0,166M1A0555,6,6,5,6,9,10,5,7,4
0,166M1A0556,8,6,6,6,9,10,6,6,3
0,166M1A0557,5,6,5,5,9,10,0,5,5
0,166M1A0558,0,6,6,5,7,9,5,0,7
0,166M1A0559,7,8,7,7,10,10,6,8,7
0,166M1A0560,7,5,5,5,9,10,6,5,2
0,166M1A0501,0,5,0,0,8,10,0,0,6
0,166M1A0502,5,6,5,6,9,10,6,7,1
0,166M1A0503,7,6,6,8,9,10,7,6,5
0,166M1A0504,6,6,6,6,9,10,6,6,5
0,166M1A0505,0,7,7,7,9,9,5,5,7
0,166M1A0506,6,6,7,5,9,10,6,8,4
0,166M1A0507,7,5,7,7,9,10,5,6,7
0,166M1A0508,5,5,0,5,8,10,6,5,4
0,166M1A0509,0,6,0,6,8,10,0,5,6
0,166M1A0510,5,6,7,6,9,10,5,6,9
0,166M1A0511,6,0,5,6,7,10,0,0,6
0,166M1A0512,6,6,8,0,8,10,6,5,2
0,166M1A0513,5,7,6,6,8,10,6,6,2
0,166M1A0514,6,6,6,7,8,10,6,7,4
0,166M1A0515,8,7,5,8,9,10,7,6,6
0,166M1A0516,6,7,7,6,9,10,5,6,9
0,166M1A0517,5,6,5,5,8,9,5,0,3
0,166M1A0518,5,5,5,5,7,9,5,6,7
0,166M1A0519,9,7,7,8,10,10,7,7,8
0,166M1A0520,6,6,6,5,9,10,5,6,8
0,166M1A0521,5,8,6,0,8,10,6,5,3
0,166M1A0522,6,6,5,6,9,10,7,8,3
0,166M1A0523,7,6,6,7,10,10,6,6,6
0,166M1A0524,7,8,8,6,10,10,7,7,9
0,166M1A0525,6,8,7,6,9,10,6,6,5
0,166M1A0526,6,7,6,6,9,10,7,8,9
0,166M1A0527,8,0,5,6,9,10,6,6,2
0,166M1A0528,6,6,5,5,8,10,0,5,6
0,166M1A0529,0,6,5,0,8,10,0,0,1
0,166M1A0530,5,6,5,6,8,9,0,6,2
0,166M1A0531,8,0,5,6,9,10,7,5,4
0,166M1A0532,6,7,0,5,9,10,6,5,9
0,166M1A0533,0,7,5,5,8,10,0,0,5
0,166M1A0534,5,6,5,6,9,10,0,6,6
0,166M1A0535,9,6,6,7,9,10,7,6,0
0,166M1A0536,6,5,0,5,9,10,5,5,5
0,166M1A0537,5,8,6,6,10,10,6,0,1
0,166M1A0538,7,7,6,7,10,10,6,7,1
0,166M1A0539,5,0,0,5,9,10,0,5,9
0,166M1A0540,6,8,6,5,9,10,6,5,3
0,166M1A0541,0,7,5,5,9,10,5,5,6
0,166M1A0542,8,6,7,7,9,10,6,7,2
0,166M1A0543,8,7,6,7,10,10,6,7,9
0,166M1A0545,8,8,7,6,9,10,7,7,3
0,166M1A0546,5,6,5,5,9,10,5,0,7
0,166M1A0547,7,7,6,7,10,10,7,8,9
0,166M1A0548,7,6,7,6,10,10,5,6,6
0,166M1A0549,7,9,7,6,10,10,7,8,0
0,166M1A0550,6,8,7,7,9,10,5,5,9
0,166M1A0551,6,6,5,6,9,10,5,8,8
0,166M1A0552,7,6,6,6,9,10,6,6,1
0,166M1A0553,5,6,0,5,8,10,5,0,0
0,166M1A0554,5,5,5,0,9,10,0,0,2
0,166M1A0555,6,6,5,6,9,10,5,7,1
0,166M1A0556,8,6,6,6,9,10,6,6,5
0,166M1A0557,5,6,5,5,9,10,0,5,1
0,166M1A0558,0,6,6,5,7,9,5,0,0
0,166M1A0559,7,8,7,7,10,10,6,8,4
0,166M1A0560,7,5,5,5,9,10,6,5,5
